Index,Org,Dst,CO2/kt,NOx/t,CO/t,HC/t
1288,PVG,BHY,1.64,7.06,1.85,0.13
1289,MDG,TAO,1.35,6.44,1.15,0.11
1290,LZO,SZX,1.2,6.14,0.87,0.08
1291,TYN,CTU,1,4.62,1.1,0.09
1292,TYN,FOC,1.5,7.23,0.85,0.08
1293,NGB,HAK,1.68,8.15,1.23,0.12
1294,TAO,MDG,1.2,5.66,1.05,0.1
1295,HAK,NGB,1.48,7.18,1.1,0.11
1296,WUX,KWE,1.63,7.79,1.28,0.12
1297,CWJ,KMG,0.56,2.69,0.51,0.05
1298,FOC,TYN,1.72,8.78,1.01,0.09
1299,CTU,TYN,1.2,6.05,1.2,0.11
1300,CGO,PEK,1.15,6.74,0.85,0.08
1301,SHA,SHE,1.54,8.72,1.26,0.13
1302,SHA,WEH,1.27,8.27,0.99,0.12
1303,WUX,CGQ,1.73,9.83,1.23,0.13
1304,SHA,KHN,0.69,3.47,0.76,0.08
1305,XFN,SZX,1.07,4.87,1.05,0.09
1306,YIH,CAN,0.88,3.93,0.81,0.06
1307,CGQ,WUX,1.64,8.71,1.16,0.12
1308,WUH,HYN,1.01,5.2,1,0.1
1309,CKG,LZY,0.99,3.61,1.29,0.05
1310,PKX,JHG,2.17,9.67,2.03,0.19
1311,JHG,PKX,2.32,11.23,1.92,0.2
1312,CGQ,SHA,1.6,8.38,1.3,0.13
1313,SZX,YNT,2.13,10.54,1.71,0.17
1314,SHA,DLC,1.19,7.08,1.07,0.12
1315,SHA,CGQ,1.86,10.63,1.57,0.17
1316,SHE,SHA,1.56,8.75,1.15,0.12
1317,HRB,SHA,1.83,9.8,1.44,0.15
1318,CGO,LXA,2.17,8.8,2.51,0.15
1319,SHA,HRB,2.03,11.28,1.71,0.19
1320,TAO,WUX,0.67,3.77,0.65,0.07
1321,CGO,TAO,1.01,5.06,0.82,0.07
1322,HYN,WUH,0.81,3.74,0.86,0.08
1323,DLC,SHA,1.05,5.89,0.85,0.09
1324,PEK,CGO,0.92,4.92,0.76,0.07
1325,LJG,HFE,1.5,6.91,1.53,0.12
1326,LXA,CGO,1.63,6.75,1.75,0.1
1327,HFE,LJG,1.58,6.64,1.91,0.14
1328,LZY,CKG,1.01,3.79,1.18,0.04
1329,PKX,SHE,0.74,3.84,0.71,0.06
1330,DLU,PEK,2.1,9.88,2.12,0.21
1331,KHN,SHA,0.75,3.98,0.79,0.08
1332,PEK,BHY,2.01,9.25,1.61,0.15
1333,KMG,XNN,1.45,7.24,1.49,0.15
1334,KMG,SHE,2.33,10.79,1.64,0.12
1335,JHG,CAN,1.27,6.01,0.94,0.09
1336,BHY,PVG,1.33,5.7,1.59,0.12
1337,HFE,URC,2.49,11.17,1.69,0.14
1338,BHY,PEK,1.88,8.23,1.94,0.13
1339,TAO,CGO,0.64,2.88,0.75,0.06
1340,YNZ,TFU,1.4,6.18,1.58,0.13
1341,PVG,BAV,1.64,7.74,1.65,0.16
1342,SYX,WNZ,1.32,6.57,1.21,0.12
1343,YIH,PEK,1.31,6.3,1.17,0.11
1344,BAV,PVG,1.37,6.5,1.28,0.13
1345,PEK,YIH,1.12,5.36,1.06,0.1
1346,WNZ,SYX,1.62,8.14,1.58,0.16
1347,HFE,LHW,1.21,5.52,1.45,0.14
1348,JHG,CGO,1.54,6.88,1.5,0.12
1349,NKG,HUZ,0.99,4.58,0.91,0.09
1350,TSN,HAK,2.1,9.88,2.03,0.19
1351,CGQ,XUZ,1.26,5.73,1.63,0.16
1352,TSN,NGB,1.2,6.01,1.1,0.11
1353,PKX,ZYI,1.45,7.76,0.94,0.09
1354,CAN,YCU,1.49,7.91,1.35,0.14
1355,CKG,YCU,0.71,3.86,0.55,0.06
1356,URC,HFE,2.42,12.12,1.27,0.13
1357,HSN,TAO,0.71,3.76,0.67,0.07
1358,SHE,PKX,1.05,5.41,0.95,0.08
1359,XNN,KMG,1.14,5.14,1.24,0.12
1360,WUX,TAO,0.83,4.92,0.75,0.08
1361,HUZ,NKG,1.25,6.5,1.09,0.11
1362,CGO,JHG,1.83,8.35,1.88,0.15
1363,LHW,HFE,1.21,6.01,1.23,0.12
1364,TFU,YNZ,1.43,7.13,1.36,0.12
1365,XUZ,CGQ,1.24,5.86,1.37,0.14
1366,LHW,CTU,0.63,2.92,0.76,0.06
1367,TNA,KWL,1.48,6.94,1.42,0.14
1368,NGB,TSN,1.24,5.94,1.15,0.11
1369,PEK,DLU,1.95,8.83,2.13,0.21
1370,CAN,JJN,0.66,3.15,0.74,0.06
1371,CKG,HRB,2.03,10.32,1.44,0.15
1372,HRB,JGD,0.7,3.4,1.02,0.11
1373,JGD,HRB,0.65,3.07,0.89,0.09
1374,HFE,HET,1.26,6.72,1.26,0.13
1375,HGH,KWL,1.25,6,1.27,0.13
1376,HAK,TSN,1.94,8.87,1.68,0.15
1377,CTU,LHW,0.71,3.6,0.89,0.08
1378,HRB,CKG,2.31,11.7,1.72,0.17
1379,WUX,TYN,1.13,5.49,1.11,0.11
1380,LZO,CAN,1.14,6.13,0.84,0.08
1381,TFU,KOW,1.39,7.38,1.09,0.11
1382,HRB,CIF,0.72,3.74,0.86,0.09
1383,CTU,LZY,0.85,3.24,1.09,0.04
1384,KWL,TNA,1.38,6.67,1.25,0.12
1385,PKX,YNJ,1.36,6.69,1.03,0.1
1386,LZY,CTU,0.74,2.79,0.94,0.04
1387,YCU,CAN,1.44,7.61,1.2,0.12
1388,HET,HFE,1.36,7.78,1.13,0.12
1389,ZYI,PKX,1.42,7.66,0.9,0.09
1390,LJG,WUH,1.07,4.67,1.12,0.09
1391,CKG,HET,1.16,5.4,1.03,0.09
1392,YNJ,PKX,1.32,6.13,1.07,0.1
1393,DLC,SJW,0.75,3.71,0.94,0.09
1394,KMG,HET,1.71,8.26,1.42,0.13
1395,CAN,LZO,1.28,7.17,1.03,0.1
1396,YTY,DLC,0.61,3.35,0.66,0.08
1397,KWL,HGH,1.03,5.07,0.98,0.1
1398,WUX,SYX,1.82,8.93,1.83,0.18
1399,WNZ,HRB,2.3,13.15,1.7,0.19
1400,LYG,SZX,1.32,6.16,0.95,0.09
1401,TNA,NNG,1.72,8.06,1.49,0.14
1402,SHE,KHN,1.53,7.1,1.53,0.14
1403,JHG,XIY,1.42,6.35,1.44,0.11
1404,XIY,CZX,1.02,5.02,1.06,0.1
1405,HET,DLC,0.97,4.92,0.91,0.09
1406,FOC,SHE,1.84,9.28,1.38,0.13
1407,SHE,FOC,1.72,8.54,1.47,0.15
1408,HRB,WNZ,1.95,11.05,1.44,0.16
1409,CZX,HRB,1.64,8.49,1.49,0.15
1410,XIY,JHG,1.33,5.63,1.58,0.12
1411,SZX,LYG,1.61,8.62,1.07,0.11
1412,SYX,WUX,1.66,8.26,1.53,0.15
1413,HET,KMG,1.7,7.64,1.57,0.14
1414,PVG,WEH,0.52,2.45,0.74,0.07
1415,FOC,SYX,1.48,7.62,1.25,0.13
1416,PVG,YCU,1.13,5.15,1.3,0.11
1417,HRB,CZX,1.66,8.45,1.6,0.16
1418,DLC,HET,0.98,4.54,1.01,0.1
1419,TFU,HYN,1.75,10,0.97,0.09
1420,SHE,SJW,1.06,4.92,1.02,0.08
1421,XMN,WUX,1.07,6.18,0.98,0.11
1422,HAK,HFE,1.49,7.45,1.26,0.12
1423,WUX,XMN,0.93,4.97,0.96,0.1
1424,HYN,TFU,1.78,9.48,1.29,0.1
1425,SYX,FOC,1.2,5.81,1.08,0.11
1426,CZX,XIY,1.1,5.09,1.26,0.12
1427,TYN,WUX,1.01,4.92,0.94,0.09
1428,WUH,LJG,1.42,6.59,1.56,0.13
1429,HET,CKG,1.17,5.58,0.98,0.09
1430,CIF,HRB,0.58,3,0.67,0.07
1431,WUA,HET,0.38,1.64,0.74,0.07
1432,WNZ,ZUH,1.08,5.33,0.77,0.07
1433,YCU,PVG,0.96,4.54,1.12,0.11
1434,NNG,TNA,1.6,7.75,1.28,0.13
1435,HFE,HAK,1.35,6.72,1.23,0.12
1436,URC,SHE,2.24,10.63,1.83,0.16
1437,SHE,NTG,1.19,5.65,1.29,0.12
1438,PKX,NTG,0.84,4.19,0.72,0.07
1439,HGH,JJN,0.74,3.76,0.61,0.06
1440,SHE,URC,2.63,12.12,2.27,0.17
1441,ZUH,WNZ,0.93,5.01,0.6,0.06
1442,CTU,YTY,1.43,7.61,1.13,0.1
1443,JJN,HGH,0.83,4.41,0.61,0.06
1444,CKG,KRL,1.9,8.81,2,0.19
1445,MIG,NKG,1.26,6.21,1.2,0.11
1446,NTG,SHE,1.06,5.03,1.12,0.11
1447,NTG,PKX,0.88,4.48,0.76,0.08
1448,YIH,KMG,0.88,4.22,0.86,0.09
1449,KMG,YIH,1.12,5.77,1.04,0.11
1450,DLC,MDG,0.9,4.48,0.96,0.09
1451,PEK,YBP,1.26,5.95,1.29,0.13
1452,HYN,KWE,1.66,9.16,1.18,0.12
1453,KRL,CKG,1.56,7.56,1.58,0.16
1454,PVG,KOW,0.97,4.93,1.07,0.11
1455,KOW,PVG,0.79,4.13,0.86,0.09
1456,NKG,MIG,1.21,5.25,1.42,0.12
1457,TNA,JJN,0.87,4.12,0.7,0.07
1458,DLC,CTU,1.72,7.92,1.22,0.11
1459,YTY,CTU,1.55,7.63,1.17,0.06
1460,KHN,SHE,1.59,7.82,1.46,0.14
1461,HRB,YNZ,1.43,6.76,1.39,0.14
1462,KRL,PKX,2.04,10.01,1.64,0.16
1463,WUX,PEK,1.05,5.31,0.71,0.07
1464,TFU,DLC,1.73,9.48,1.17,0.13
1465,LHW,CGQ,1.7,8,1.75,0.17
1466,MDG,DLC,0.96,4.89,0.99,0.1
1467,YBP,PEK,1.38,6.96,1.31,0.14
1468,KWE,HYN,1.46,8.52,0.88,0.1
1469,JJN,TNA,1.38,6.95,1.09,0.11
1470,HUZ,WUX,1.15,5.94,0.96,0.1
1471,PEK,WUX,0.85,4.3,0.62,0.06
1472,YCU,CKG,0.61,3.38,0.47,0.05
1473,SWA,NGB,0.9,4.68,0.89,0.09
1474,YNZ,HRB,1.36,6.28,1.3,0.13
1475,YNJ,TAO,1.09,5.32,1.14,0.11
1476,LUM,CAN,1.16,5.33,0.99,0.09
1477,TAO,YNJ,1.03,5.26,1.1,0.12
1478,CKG,BAV,0.89,4.58,0.98,0.11
1479,JMU,TAO,1.18,5.12,1.33,0.1
1480,YCU,HGH,0.91,4.66,0.95,0.1
1481,WUX,HUZ,1.06,5.02,0.96,0.09
1482,LHW,HET,0.81,3.78,0.81,0.08
1483,CAN,LUM,1.56,7.48,1.35,0.13
1484,LHW,SHE,1.37,6.41,1.28,0.12
1485,KRL,PEK,2.13,10.36,1.7,0.17
1486,LYA,KMG,1.19,5.59,0.87,0.08
1487,CTU,HET,1.33,6.71,0.94,0.09
1488,KMG,LYA,1.52,7.88,1.01,0.1
1489,BAV,CKG,0.87,4.46,0.96,0.1
1490,PKX,KRL,1.8,8.71,1.52,0.16
1491,SJW,SHA,0.85,4.17,0.68,0.07
1492,DCY,TFU,0.37,1.42,0.6,0.03
1493,SHE,XUZ,1.12,5.56,1.15,0.12
1494,YNZ,CSX,0.78,3.76,0.87,0.09
1495,XUZ,SHE,0.91,4.31,0.89,0.08
1496,CAN,XFN,0.91,4.34,1.03,0.1
1497,CZX,DLC,0.73,3.69,0.68,0.07
1498,SJW,SHE,0.62,2.79,0.67,0.05
1499,DYG,XIY,0.49,2.52,0.57,0.06
1500,TAO,JMU,1.16,5.08,1.34,0.11
1501,SZX,LYI,1.37,6.72,1.24,0.1
1502,WNZ,TNA,1.04,5.04,1.08,0.11
1503,CSX,YNZ,1.04,5.76,0.97,0.1
1504,TNA,INC,0.93,4.6,0.69,0.07
1505,PEK,KRL,1.83,8.69,1.56,0.16
1506,LYI,SZX,1.12,4.84,1.08,0.08
1507,XFN,CAN,0.86,3.98,0.91,0.08
1508,TSN,HLD,1.23,5.65,0.91,0.08
1509,HGH,YCU,1.05,5.03,1.17,0.11
1510,NNY,CAN,0.89,3.98,0.97,0.09
1511,DLC,CZX,0.63,3.28,0.65,0.07
1512,HAK,YIH,0.97,4.85,0.86,0.09
1513,HRB,CTU,1.93,8.39,1.93,0.14
1514,HET,XMN,1.49,7.44,0.69,0.06
1515,CAN,NNY,0.92,4.31,1.03,0.1
1516,XMN,HET,1.71,8.84,0.85,0.07
1517,CTU,HRB,1.74,7.99,1.62,0.13
1518,LYG,CAN,1.03,4.56,1.06,0.09
1519,HET,CTU,1.2,5.65,0.84,0.07
1520,DYG,TFU,0.56,3.11,0.62,0.06
1521,XIY,BHY,1.19,5.9,0.97,0.09
1522,CAN,LYG,1.21,5.99,1.08,0.1
1523,TNA,WNZ,0.78,3.78,0.81,0.08
1524,CGQ,LHW,1.42,6.72,1.56,0.16
1525,HLD,TSN,0.88,4.24,0.79,0.08
1526,PVG,ZYI,1.31,5.94,1.52,0.13
1527,ZYI,PVG,0.97,4.56,1.07,0.1
1528,CAN,YIH,0.71,3.14,0.7,0.04
1529,TAO,HSN,0.58,3.16,0.53,0.06
1530,YBP,PVG,1.21,5.14,1.35,0.09
1531,DNH,PEK,1.53,7.58,1.08,0.11
1532,KMG,YNT,1.65,8.38,1.5,0.15
1533,PVG,YBP,1.43,5.86,1.73,0.11
1534,YNZ,SZX,1.2,6.32,1.01,0.1
1535,KMG,URC,2.36,11.09,2.04,0.19
1536,BHY,XIY,1.37,7.09,1.12,0.11
1537,WNZ,NNG,1.52,8.7,1.25,0.13
1538,NNG,WNZ,1.06,6.01,0.87,0.1
1539,URC,KMG,1.86,8.25,1.64,0.14
1540,YNT,KMG,1.65,7.25,1.76,0.15
1541,JMJ,KMG,0.49,2.38,0.44,0.04
1542,SZX,YNZ,1.38,8.21,1.09,0.12
1543,NGB,SWA,0.78,3.76,0.84,0.08
1544,CGO,HSN,1.1,5.73,0.66,0.06
1545,TFU,DYG,0.67,3.95,0.66,0.07
1546,JHG,SZX,1.01,4.8,0.89,0.09
1547,SJW,DLC,0.63,3.51,0.7,0.08
1548,BPE,SJW,0.44,2.16,0.64,0.07
1549,CGQ,TYN,1.1,5.45,0.82,0.08
1550,HSN,CGO,0.9,4.51,0.64,0.06
1551,SHA,SJW,0.91,4.69,0.79,0.08
1552,NTG,JJN,0.8,3.94,0.72,0.07
1553,ZHA,KMG,0.71,3.31,0.78,0.07
1554,SJW,BPE,0.43,2.14,0.62,0.07
1555,CTU,DLC,1.55,8.17,0.97,0.1
1556,KHN,ZHA,1,5.13,1.06,0.11
1557,LYI,SHE,0.73,3.49,0.73,0.07
1558,JJN,NKG,0.82,4.32,0.62,0.06
1559,KMG,ZHA,0.94,4.78,0.86,0.09
1560,SHE,LYI,0.95,4.66,0.89,0.09
1561,NKG,JJN,0.73,3.63,0.57,0.05
1562,CGQ,WEF,0.84,3.92,0.89,0.09
1563,JHG,WUH,1.04,4.7,0.9,0.07
1564,HET,LHW,0.76,3.6,0.65,0.06
1565,WEF,CGQ,0.84,4.02,0.88,0.09
1566,PEK,DNH,1.25,6.26,0.89,0.1
1567,JJN,NTG,0.77,3.95,0.68,0.07
1568,YTY,KMG,1.43,6.59,1.18,0.11
1569,INC,CAN,1.3,6.05,0.99,0.08
1570,PVG,LZH,1.33,6.95,1.27,0.12
1571,KMG,YTY,1.4,7.16,0.97,0.1
1572,YNT,CSX,0.99,4.55,1.04,0.09
1573,KWL,SWA,0.51,2.62,0.64,0.07
1574,NGB,SJW,1.08,5.22,0.98,0.1
1575,HIA,KMG,1.39,6.29,1.34,0.12
1576,DQA,TAO,1.03,4.93,1.12,0.11
1577,HSN,WUH,0.64,2.99,0.69,0.06
1578,YBP,HGH,1.13,5.28,1.08,0.08
1579,WUH,JHG,1.33,6.26,1.26,0.11
1580,HGH,YBP,1.26,5.5,1.31,0.09
1581,DLC,RIZ,0.36,2.14,0.45,0.05
1582,SJW,NGB,0.95,4.49,0.79,0.08
1583,LZH,PVG,1.05,5.67,0.96,0.1
1584,NGB,CGQ,1.35,6.6,1.13,0.11
1585,HSN,FOC,0.55,2.72,0.45,0.04
1586,SZX,YBP,1.05,4.73,1.1,0.07
1587,TAO,DQA,0.98,4.69,1.12,0.11
1588,DZH,PEK,1.03,5.17,0.79,0.08
1589,CAN,INC,1.56,7.53,1.16,0.09
1590,KMG,HIA,1.46,7.41,1.19,0.12
1591,NGB,SHE,1.09,5.25,1.08,0.1
1592,CSX,YNT,1.16,5.91,1.14,0.11
1593,RIZ,DLC,0.35,2.09,0.44,0.05
1594,TYN,CGQ,1.05,5.06,0.88,0.09
1595,FOC,ZUH,0.79,4.13,0.56,0.06
1596,HMI,CGO,1.46,7.02,0.94,0.08
1597,CGQ,NGB,1.28,5.78,1.11,0.1
1598,CAN,XNN,1.39,6.46,1.4,0.13
1599,YTY,TFU,1.24,5.99,1.03,0.1
1600,HLD,SHE,0.65,2.85,0.74,0.05
1601,TYN,YIH,0.67,3.29,0.69,0.07
1602,HRB,TYN,1.3,7.07,0.97,0.1
1603,MIG,TNA,1.11,5.57,0.79,0.08
1604,YNT,CKG,1.18,5.36,1.2,0.11
1605,SHE,HLD,0.89,4.12,0.89,0.06
1606,SHE,WNZ,1.13,5.52,1.15,0.11
1607,TYN,WNZ,0.96,4.56,0.89,0.08
1608,XNN,CAN,1.17,5.1,1.23,0.11
1609,CGO,HMI,1.79,8.5,1.25,0.11
1610,PVG,DAT,1.3,6.5,1.42,0.14
1611,YIH,KWE,0.46,2.6,0.49,0.06
1612,XIY,HUZ,1.1,4.88,0.96,0.08
1613,WUX,NNG,1.3,5.81,0.95,0.06
1614,WNZ,SHE,1.24,5.94,1.2,0.11
1615,HUZ,XIY,1.29,6.45,1.16,0.12
1616,DSN,CGO,0.56,2.67,0.44,0.04
1617,TNA,MIG,1.03,4.85,0.76,0.07
1618,NNG,WUX,1.11,5.16,0.67,0.05
1619,CAN,NAO,0.97,4.62,0.85,0.07
1620,YIW,XIY,1.04,4.37,1.06,0.07
1621,XIY,YIW,1.03,4.74,0.92,0.06
1622,WNZ,TYN,1.15,5.48,1.1,0.1
1623,TFU,YTY,1.18,6.26,0.87,0.09
1624,CKG,BPX,0.66,2.39,0.93,0.03
1625,YCU,SZX,1,4.52,1.04,0.09
1626,TYN,HRB,1.06,5.38,0.86,0.09
1627,TNA,LJG,1.33,5.61,1.4,0.1
1628,MIG,HAK,1.1,5.31,0.91,0.08
1629,YNZ,WUH,0.43,1.96,0.61,0.06
1630,CKG,YNT,1.06,5.28,1.02,0.1
1631,LJG,TNA,1.26,5.64,1.21,0.09
1632,ZHA,KHN,0.68,3.34,0.68,0.07
1633,BPX,CKG,0.59,2.23,0.75,0.03
1634,NAO,CAN,0.8,3.58,0.76,0.06
1635,DLU,CAN,0.84,3.17,0.82,0.04
1636,KWL,TFU,0.55,2.82,0.64,0.06
1637,YNT,HFE,0.53,2.83,0.51,0.06
1638,HFE,YNT,0.59,3.11,0.56,0.06
1639,CGQ,NTG,1.1,5.06,0.87,0.08
1640,WHA,SZX,0.83,3.85,0.78,0.07
1641,KWE,XUZ,1.08,5.73,0.87,0.09
1642,SZX,YCU,1.12,5.36,1.16,0.1
1643,RIZ,SHE,0.63,2.98,0.75,0.07
1644,YIH,DLC,1.11,5.35,0.9,0.08
1645,SHE,NGB,1.04,5.04,1.08,0.11
1646,TFU,KWL,0.67,3.56,0.68,0.07
1647,XUZ,KWE,1.04,4.99,1.01,0.09
1648,BAV,TFU,0.85,4.46,0.77,0.08
1649,XMN,YTY,0.79,4.05,0.84,0.08
1650,KWL,XMN,0.51,2.33,0.69,0.07
1651,OHE,HRB,0.61,2.86,0.83,0.09
1652,KHN,CGQ,1.45,7.27,1.09,0.11
1653,SHE,RIZ,0.78,3.99,0.82,0.08
1654,SHA,SWA,0.66,3.33,0.78,0.08
1655,NTG,CGQ,1.15,5.65,0.86,0.08
1656,CGO,DSN,0.72,3.74,0.5,0.05
1657,YBP,SZX,0.77,3.23,0.88,0.05
1658,CGQ,KHN,1.17,5.3,0.94,0.09
1659,YTY,XMN,0.67,3.21,0.85,0.09
1660,DLC,YIH,1.04,4.82,0.89,0.07
1661,SHE,YNZ,0.87,4.3,1.07,0.11
1662,ZUH,FOC,0.68,3.67,0.48,0.05
1663,TFU,BAV,0.93,5.25,0.87,0.1
1664,LZH,NKG,0.9,4.37,0.89,0.08
1665,LJG,KWE,0.59,3.3,0.65,0.07
1666,HAK,MIG,1.02,4.71,0.91,0.08
1667,INC,HFE,0.84,4.28,0.84,0.09
1668,XIY,SWA,1.12,5.28,1.12,0.1
1669,CKG,WHA,0.94,4.87,0.89,0.09
1670,YCU,WUH,0.45,2.04,0.48,0.04
1671,CKG,DLC,1.18,6.08,1.06,0.11
1672,SZX,WHA,0.95,4.86,0.78,0.07
1673,SWA,HFE,0.62,3.22,0.71,0.08
1674,XMN,SYX,1.13,6.11,0.74,0.05
1675,SYX,XMN,0.83,4.13,0.57,0.04
1676,NKG,LZH,0.91,4.03,1.02,0.08
1677,WUX,HRB,1.17,5.57,1.21,0.12
1678,YNZ,SHE,0.74,3.36,0.92,0.09
1679,DLC,CKG,1.27,5.95,1.31,0.12
1680,HFE,INC,0.91,4.14,1.07,0.1
1681,WHA,CKG,0.93,4.32,1.02,0.1
1682,NGB,NNG,1.13,5.36,1.28,0.12
1683,KOW,KMG,0.94,4.35,0.92,0.09
1684,HRB,WUX,1.13,5.17,1.16,0.11
